Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
2,裏,0,0,0,false,false,false,向嶋大輔,右,櫻井伯斗,右,,,0,0,ボール,false,,,,,0,0,,
2,裏,1,0,0,false,false,false,向嶋大輔,右,櫻井伯斗,右,,,0,0,ボール,false,,,,,0,0,,
2,裏,2,0,0,false,false,false,向嶋大輔,右,櫻井伯斗,右,,,0,0,ファール,false,,,,,0,0,,
2,裏,2,1,0,false,false,false,向嶋大輔,右,櫻井伯斗,右,,,0,0,ファール,false,,,,,0,0,,
2,裏,2,2,0,false,false,false,向嶋大輔,右,櫻井伯斗,右,スライダー,,14,1,空振,false,空三振,,,,1,0,,
2,裏,0,0,1,false,false,false,向嶋大輔,右,中村康太,右,スライダー,,5,1,見送,false,,,,,0,0,,
2,裏,0,1,1,false,false,false,向嶋大輔,右,中村康太,右,スライダー,,1,1,ファール,false,,,,,0,0,,
2,裏,0,2,1,false,false,false,向嶋大輔,右,中村康太,右,スライダー,,9,1,空振,false,空三振,,,,1,0,,
2,裏,0,0,2,false,false,false,向嶋大輔,右,澤田虹希,左,ストレート,,13,3,ボール,false,,,,,0,0,,
2,裏,1,0,2,false,false,false,向嶋大輔,右,澤田虹希,左,ストレート,,1,3,ファール,false,,,,,0,0,,
2,裏,1,1,2,false,false,false,向嶋大輔,右,澤田虹希,左,ストレート,,4,1,ファール,false,,,,,0,0,,
2,裏,1,2,2,false,false,false,向嶋大輔,右,澤田虹希,左,ストレート,,11,3,ボール,false,,,,,0,0,,
2,裏,2,2,2,false,false,false,向嶋大輔,右,澤田虹希,左,ストレート,,11,3,ボール,false,,,,,0,0,,
2,裏,3,2,2,false,false,false,向嶋大輔,右,澤田虹希,左,ストレート,,11,3,ファール,false,,,,,0,0,,
2,裏,3,2,2,false,false,false,向嶋大輔,右,澤田虹希,左,ストレート,,7,3,ファール,false,,,,,0,0,,
2,裏,3,2,2,false,false,false,向嶋大輔,右,澤田虹希,左,フォーク,,13,2,空振,false,空三振,,,,1,0,,
3,表,0,0,0,false,false,false,但馬希遥,右,山田久敬,左,スライダー,,4,1,見送,false,,,,,0,0,,
3,表,0,1,0,false,false,false,但馬希遥,右,山田久敬,左,ストレート,,4,3,見送,false,,,,,0,0,,
3,表,0,2,0,false,false,false,但馬希遥,右,山田久敬,左,スライダー,,13,3,空振,false,空三振,,,,1,0,,
3,表,0,0,1,false,false,false,但馬希遥,右,山川宗慶,右,ストレート,,9,1,インプレー,false,,凡打,ゴロ,遊,1,0,,J3
3,表,0,0,2,false,false,false,但馬希遥,右,渡部千博,左,ストレート,,11,1,ボール,false,,,,,0,0,,
3,表,1,0,2,false,false,false,但馬希遥,右,渡部千博,左,ストレート,,12,1,ボール,false,,,,,0,0,,
3,表,2,0,2,false,false,false,但馬希遥,右,渡部千博,左,ストレート,,2,2,見送,false,,,,,0,0,,
3,表,2,1,2,false,false,false,但馬希遥,右,渡部千博,左,チェンジ,,7,1,ファール,false,,,,,0,0,,
3,表,2,2,2,false,false,false,但馬希遥,右,渡部千博,左,チェンジ,,2,3,インプレー,false,,失策,ゴロ,遊,0,0,,H3
3,表,0,0,2,true,false,false,但馬希遥,右,池邉由伸,左,スライダー,,14,1,ボール,false,,,,,0,0,,
3,表,1,0,2,true,false,false,但馬希遥,右,池邉由伸,左,,,0,1,牽制,false,,,,,0,0,,
3,表,1,0,2,true,false,false,但馬希遥,右,池邉由伸,左,スライダー,,8,1,見送,false,,,,,0,0,,
3,表,1,1,2,true,false,false,但馬希遥,右,池邉由伸,左,ストレート,,7,3,インプレー,false,,失策,ゴロ,投,0,0,,M2
3,表,0,0,2,true,false,false,但馬希遥,右,佐藤隼太,右,スライダー,,5,1,ファール,false,,,,,0,0,,
3,表,0,1,2,true,true,false,但馬希遥,右,佐藤隼太,右,スライダー,,14,1,ボール,false,,,,,0,0,,
3,表,1,1,2,true,true,false,但馬希遥,右,佐藤隼太,右,スライダー,,8,1,ファール,false,,,,,0,0,,
3,表,1,2,2,true,true,false,但馬希遥,右,佐藤隼太,右,スライダー,,14,1,ボール,false,,,,,0,0,,
3,表,2,2,2,true,true,false,仙石力也,右,佐藤隼太,右,ストレート,,3,1,ファール,false,,,,,0,0,,
3,表,2,2,2,true,true,false,仙石力也,右,佐藤隼太,右,ストレート,,14,3,ボール,false,,,,,0,0,,
3,表,3,2,2,true,true,false,仙石力也,右,佐藤隼太,右,ストレート,,3,1,インプレー,false,,凡打,フライ,二,1,0,,V4
3,裏,0,0,0,false,false,false,向嶋大輔,右,小又菜生,左,ストレート,,5,3,インプレー,false,,二塁打,フライ,右,0,0,,S7
3,裏,0,0,0,false,true,false,向嶋大輔,右,村井虹七登,左,ストレート,,4,3,ファール,false,,,,,0,0,,
3,裏,0,1,0,false,true,false,向嶋大輔,右,村井虹七登,左,ストレート,,7,3,ファール,false,,,,,0,0,,
3,裏,0,2,0,false,true,false,向嶋大輔,右,村井虹七登,左,ストレート,,13,3,ボール,false,,,,,0,0,,
3,裏,1,2,0,false,true,false,向嶋大輔,右,村井虹七登,左,フォーク,,2,1,インプレー,false,,凡打,ゴロ,投,1,0,,N2
3,裏,0,0,1,true,false,false,向嶋大輔,右,加藤遥人,右,スライダー,,14,1,空振,false,,,,,0,0,,
3,裏,0,1,1,false,true,false,向嶋大輔,右,加藤遥人,右,ストレート,,1,3,インプレー,false,,犠打,ゴロ,投,1,0,,
3,裏,0,0,2,false,false,true,向嶋大輔,右,唐澤　旬,左,ストレート,,1,3,見送,false,,,,,0,0,,
3,裏,0,1,2,false,false,true,向嶋大輔,右,唐澤　旬,左,ストレート,,4,3,見送,false,,,,,0,0,,
3,裏,0,2,2,false,false,true,向嶋大輔,右,唐澤　旬,左,ストレート,,13,3,ボール,false,,,,,0,0,,
3,裏,1,2,2,false,false,true,向嶋大輔,右,唐澤　旬,左,フォーク,,13,1,インプレー,false,,凡打,ゴロ,三,1,0,,G3
4,表,0,0,0,false,false,false,仙石力也,右,髙松紳志,左,カーブ,,14,1,ボール,false,,,,,0,0,,
4,表,1,0,0,false,false,false,仙石力也,右,髙松紳志,左,ストレート,,2,1,ファール,false,,,,,0,0,,
